|codigo|fecha|titular|detalle|texto
0|article243235|2014-06-10 00:00:00|El registro de cilindros a GNV se amplía hasta el 17 de octubre|Surtidores. Esta tarea también se la hará en las estaciones de servicio|La Agencia Nacional de Hidrocarburos (ANH) amplió hasta el 17 de octubre el registro de cilindros de los motorizados que usan Gas Natural Vehicular (GNV). Esta tarea, que se realizaba en talleres autorizados, también se ejecutará en surtidores. El director técnico de la ANH, Northon Tórrez Vargas, recordó que inicialmente el plazo para este registro debía concluir hoy, 10 de junio, después de haberse iniciado el proceso hace dos meses, pero que en estos dos últimos días hubo bastante afluencia de los propietarios de los vehículos que funcionan a GNV, por lo que esa entidad estatal decidió ampliar el plazo hasta el 17 de octubre.  “En todo el país, el parque automotor que consume GNV asciende aproximadamente a unos 355.000 motorizados, de los cuales se registraron en esta primera fase alrededor de 25.000 vehículos (7,04%) en todo el territorio nacional, informó. Esta ampliación del plazo se la realizó mediante la Resolución Administrativa 1510/2014 de la ANH. El registro es obligatorio y es gratuito y se efectuará en las 234 estaciones de servicio de GNV y en los 246 talleres autorizados en el país, con el propósito de conocer el estado de los cilindros, el tiempo de su uso, su procedencia, la marca, año de fabricación, capacidad y otras características técnicas que posibilite a la ANH conocer el estado de estos equipos. El procedimiento consiste en que un técnico acreditado por la entidad reguladora registrará en una planilla el número de placa, la serie del B-Sisa (Boliviana de Sistemas de Auto Identificación) y los datos del cilindro. Después de cumplir con los pasos anteriores, el técnico colocará un autoadhesivo, el cual identificará que el vehículo fue sometido a este proceso.   Sobre la base de datos del Registro Único para la Administración Tributaria Municipal (RUAT), el director general ejecutivo de la Entidad Ejecutora de Conversión a Gas Natural Vehicular (EEC-GNV), Hernán Vega, informó en enero de este año que el parque automotor de Bolivia a 2013 llegó a 1.205.356 autos, y de esta cantidad el 24% (288.519) usaba gas natural. Advertencia. El 5 de junio, La Razón publicó que los propietarios de los vehículos que funcionan a GNV en el país y cuyos cilindros no sean registrados no podrán cargar este carburante. En esa oportunidad, Eduardo Vásquez, técnico en GNV de la ANH, explicó que “este registro permite al vehículo suministrarse de GNV porque se vincula al B-Sisa (sistema informático) que hace el control a todos los vehículos (en los surtidores). Entonces, ¿qué pasa si el vehículo no se registra? No va a poder abastecerse en las estaciones de servicio, simplemente porque nuestro sistema no lo va a reconocer si el vehículo se acerca a la estación”, manifestó.  Con el registro del cilindro, el sistema informático B-Sisa tomará conocimiento del año de fabricación del equipo y así saber si son antiguos o si podrían causar explosiones por su data, pues son un peligro para la sociedad, sostuvo Vásquez. La semana pasada, Tórrez informó a La Razón que este año la ANH recibió 20 nuevos proyectos para la construcción de estaciones de servicio que provean GNV y que de esa cantidad dos ya fueron aprobados y los restantes están en evaluación.  El objetivo es que se reduzca el consumo de gasolina y diésel, por la elevada subvención a estos carburantes. Difusión de la medida en medios Publicación La ampliación del registro de cilindros se publicará la jornada de hoy en todos los medios escritos, con sus propias características. Seguridad El registro y control de cilindros es para la seguridad de la gente. Piden más surtidores de GNV en carreteras La Federación Andina de Choferes 1 de Mayo de El Alto, a través de su secretario ejecutivo, Silverio Paca, solicitó a la Agencia Nacional de Hidrocarburos (ANH) que se construyan más surtidores de GNV en los tramos carreteros para de esta manera incentivar el consumo de este carburante. “Siguen faltando surtidores de GNV en la carretera a Oruro donde hay poblaciones, a Copacabana, San Roque, Laja, no hay esos surtidores por eso consumen gasolina”, indicó el mencionado dirigente. Con relación a la ampliación del registro de cilindros, Paca informó que ya recibieron la resolución de la ANH y que la misma ya fue enviada a sus bases. Además, expresó que en reiteradas oportunidades recomendaron a los choferes a cambiar los cilindros viejos para evitar accidentes. “Incluso hemos mandado memorandos a algunos afiliados, pero tampoco podemos obligar”, señaló el dirigente de los transportistas. Datos de la ANH señalan que en la actualidad en la ciudad de El Alto existen 26 surtidores de GNV, y que hay uno en Viacha, en tanto que en la ciudad de La Paz solo hay seis que proveen este carburante.
1|article243235|2014-06-10 00:00:00|El registro de cilindros a GNV se amplía hasta el 17 de octubre|Surtidores. Esta tarea también se la hará en las estaciones de servicio|La Agencia Nacional de Hidrocarburos (ANH) amplió hasta el 17 de octubre el registro de cilindros de los motorizados que usan Gas Natural Vehicular (GNV). Esta tarea, que se realizaba en talleres autorizados, también se ejecutará en surtidores. El director técnico de la ANH, Northon Tórrez Vargas, recordó que inicialmente el plazo para este registro debía concluir hoy, 10 de junio, después de haberse iniciado el proceso hace dos meses, pero que en estos dos últimos días hubo bastante afluencia de los propietarios de los vehículos que funcionan a GNV, por lo que esa entidad estatal decidió ampliar el plazo hasta el 17 de octubre.  “En todo el país, el parque automotor que consume GNV asciende aproximadamente a unos 355.000 motorizados, de los cuales se registraron en esta primera fase alrededor de 25.000 vehículos (7,04%) en todo el territorio nacional, informó. Esta ampliación del plazo se la realizó mediante la Resolución Administrativa 1510/2014 de la ANH. El registro es obligatorio y es gratuito y se efectuará en las 234 estaciones de servicio de GNV y en los 246 talleres autorizados en el país, con el propósito de conocer el estado de los cilindros, el tiempo de su uso, su procedencia, la marca, año de fabricación, capacidad y otras características técnicas que posibilite a la ANH conocer el estado de estos equipos. El procedimiento consiste en que un técnico acreditado por la entidad reguladora registrará en una planilla el número de placa, la serie del B-Sisa (Boliviana de Sistemas de Auto Identificación) y los datos del cilindro. Después de cumplir con los pasos anteriores, el técnico colocará un autoadhesivo, el cual identificará que el vehículo fue sometido a este proceso.   Sobre la base de datos del Registro Único para la Administración Tributaria Municipal (RUAT), el director general ejecutivo de la Entidad Ejecutora de Conversión a Gas Natural Vehicular (EEC-GNV), Hernán Vega, informó en enero de este año que el parque automotor de Bolivia a 2013 llegó a 1.205.356 autos, y de esta cantidad el 24% (288.519) usaba gas natural. Advertencia. El 5 de junio, La Razón publicó que los propietarios de los vehículos que funcionan a GNV en el país y cuyos cilindros no sean registrados no podrán cargar este carburante. En esa oportunidad, Eduardo Vásquez, técnico en GNV de la ANH, explicó que “este registro permite al vehículo suministrarse de GNV porque se vincula al B-Sisa (sistema informático) que hace el control a todos los vehículos (en los surtidores). Entonces, ¿qué pasa si el vehículo no se registra? No va a poder abastecerse en las estaciones de servicio, simplemente porque nuestro sistema no lo va a reconocer si el vehículo se acerca a la estación”, manifestó.  Con el registro del cilindro, el sistema informático B-Sisa tomará conocimiento del año de fabricación del equipo y así saber si son antiguos o si podrían causar explosiones por su data, pues son un peligro para la sociedad, sostuvo Vásquez. La semana pasada, Tórrez informó a La Razón que este año la ANH recibió 20 nuevos proyectos para la construcción de estaciones de servicio que provean GNV y que de esa cantidad dos ya fueron aprobados y los restantes están en evaluación.  El objetivo es que se reduzca el consumo de gasolina y diésel, por la elevada subvención a estos carburantes. Difusión de la medida en medios Publicación La ampliación del registro de cilindros se publicará la jornada de hoy en todos los medios escritos, con sus propias características. Seguridad El registro y control de cilindros es para la seguridad de la gente. Piden más surtidores de GNV en carreteras La Federación Andina de Choferes 1 de Mayo de El Alto, a través de su secretario ejecutivo, Silverio Paca, solicitó a la Agencia Nacional de Hidrocarburos (ANH) que se construyan más surtidores de GNV en los tramos carreteros para de esta manera incentivar el consumo de este carburante. “Siguen faltando surtidores de GNV en la carretera a Oruro donde hay poblaciones, a Copacabana, San Roque, Laja, no hay esos surtidores por eso consumen gasolina”, indicó el mencionado dirigente. Con relación a la ampliación del registro de cilindros, Paca informó que ya recibieron la resolución de la ANH y que la misma ya fue enviada a sus bases. Además, expresó que en reiteradas oportunidades recomendaron a los choferes a cambiar los cilindros viejos para evitar accidentes. “Incluso hemos mandado memorandos a algunos afiliados, pero tampoco podemos obligar”, señaló el dirigente de los transportistas. Datos de la ANH señalan que en la actualidad en la ciudad de El Alto existen 26 surtidores de GNV, y que hay uno en Viacha, en tanto que en la ciudad de La Paz solo hay seis que proveen este carburante.
2|article243278|2014-06-10 00:00:00|El registro de cilindros a GNV se amplía hasta el 17 de octubre|Oferta. En junio, la tarifa promocional será de Bs 1|La estatal Entel inicia hoy la comercialización del servicio de televisión satelital, que contará con la modalidad prepago y una oferta de cuatro planes. Por promoción, del 12 de junio al 30 del mismo mes el costo de la mensualidad será de Bs 1. El plan básico, de 61 canales, tiene un precio de 60 bolivianos; el económico, de 74 canales, 125 bolivianos; el completo, de 92 canales, 169 bolivianos; y el completo HD, de 102 canales, 183 bolivianos. La compra de la antena más el codificador en el plan básico tiene un costo de 289 bolivianos; en cambio, el precio es de 389 bolivianos en los otros tres planes. “Por lanzamiento, el servicio Tv satelital de Entel arranca con una inmejorable promoción, los usuarios que adquieran cualquiera de los cuatro planes solo pagarán 1 boliviano por concepto de mensualidad. Para mayor información, los interesados pueden llamar gratuitamente al 800 10 4488 o acceder a www.entel.bo”, señala un boletín institucional. De acuerdo con la empresa de telecomunicaciones, la compra de la antena más el decodificador podrá realizarse al contado o en 18 cuotas, que serán cobradas adjunto a la mensualidad. El servicio de Tv satelital de la Empresa Nacional de Telecomunicaciones (Entel) ofrecerá canales locales, de música y las cadenas internacionales más importantes como Discovery, HBO, Disney, Fox, ESPN, entre otras. Transmitirá en directo cinco partidos, considerados los más importantes, del Mundial Brasil 2014: la inauguración, semifinales y las finales de ese evento deportivo internacional. “En el área urbana, los interesados pueden visitar todos los multicentros de Entel y recabar la información correspondiente para luego proceder a la solicitud de instalación presentando su carnet de identidad”, promociona un boletín. None Oferta. En junio, la tarifa promocional será de Bs 1 None
3|article243278|/ 17 de enero de 1977|El registro de cilindros a GNV se amplía hasta el 17 de octubre|El ministro Romero advierte la existencia de estructuras organizadas|Veinte vehículos, entre motorizados y motocicletas, fueron secuestrados en tres localidades del trópico de Cochabamba por la Dirección de Prevención y Robo de Vehículos (Diprove). El operativo realizado el domingo fue resistido por los propietarios de los denominados autos chutos. El ministro de Gobierno, Carlos Romero, explicó que las redadas continuarán pese a la oposición. “Llama la atención que estos denominados chuteros se organicen, no son personas aisladas, son estructuras armadas que hacen que el trabajo de la Policía sea más intenso en determinadas zonas”, dijo la tarde de ayer. Romero llegó al valle para presentar resultados de la vigilancia, denominada “Trópico Seguro G77”. 
4|article243186|2014-06-10 00:00:00|Entel comienza a vender paquetes de Tv satelital|El plan Básico, de 61 canales tiene un costo de Bs 60; el  Económico, de 74 canales, Bs 125; el Completo, de 92 canales,  BS 169; y el Completo HD, de 102 canales, Bs 183.|La Empresa Nacional de Telecomunicaciones (Entel) inició hoy la comercialización del servicio de televisión satelital, que contará con la modalidad Pre pago y con una oferta de cuatro planes. Por promoción, del 12 de junio hasta el 30 del mismo mes el costo de la mensualidad será de un boliviano. El plan Básico, de 61 canales tiene un costo de 60 bolivianos; el Económico, de 74 canales, 125 bolivianos; el Completo, de 92 canales, 169 bolivianos; y el Completo HD, de 102 canales, 183 bolivianos. La compra de la antena más el codificador en el plan Básico tiene un costo de 289 bolivianos; en cambio, el precio es de 389 bolivianos en los otros tres planes. «Por lanzamiento, el servicio TV Satelital de Entel arranca con una inmejorable promoción, los usuarios que adquieran cualquiera de los cuatro planes sólo pagaran 1 boliviano por concepto de mensualidad. Para mayor información los interesados pueden llamar gratuitamente al 800 10 4488 o acceder a www.entel.bo», señala un boletín institucional De acuerdo con la empresa de telecomunicaciones, la compra de la antena más el decodificador podrá ser al contado o en 18 cotas adjuntas a la mensualidad. El servicio de TV Satelital de Entel ofrecerá canales locales, de música y las cadenas Internacionales más importantes como DISCOVERY, HBO, DISNEY, FOX,  ESPN entre otros. Transmitirá en directo los cinco partidos más importantes del Mundial Brasil 2014: la inauguración, semifinales y finales de ese evento deportivo internacional “En el área urbana los interesados pueden visitar todos los Multicentros de Entel y recabar la información correspondiente para luego proceder a la solicitud de instalación presentando su carnet de identidad. En el área rural se puede acceder en los Multicentros ENTEL disponible o a través de los canales de comercialización locales aliados”, remarca el boletín.
5|article243125|/ 17 de enero de 1977|Comerciantes de ropa usada bloquean la ruta a Warnes y exigen derogar decreto 28761 que prohibe internación|El 22 de abril 2007 el gobierno aprobó el Decreto Supremo 28761, por el  cual se prohíbe la venta de ropa usada, además de la comercialización en  territorio nacional desde el 1 de marzo de 2008, plazo que fue ampliado  hasta el 1 de abril de 2009, a través del Decreto Supremo 29521.|Los vendedores de ropa usada bloquearon este lunes la carretera hacia la localidad de Warnes y exigieron al Ministerio de Desarrollo Productivo anular el Decreto Supremo 28761 que prohíbe la internación y venta de estos productos. Los comerciantes denunciaron que la norma sólo srivió para que los efectivos policiales extorsionen a los comerciantes y gremiales, amparados en el cumplimiento de este decreto. «Hemos denunciado al Comandante de la Policía que somos objeto de extorsión de los uniformados policiales nos piden dinero porque es prohibida la venta y si no queremos pagar nos quitan la mercadería», dijo uno de los dirigentes a la red ATB. El 22 de abril 2007 el gobierno aprobó el Decreto Supremo 28761, por el cual se prohíbe la venta de ropa usada, además de la comercialización en territorio nacional desde el 1 de marzo de 2008, plazo que fue ampliado hasta el 1 de abril de 2009, a través del Decreto Supremo 29521. El Gobierno ofreció a los vendedores de ropa usada llevar adelante un programa de reconversión productiva. Sin embargo, este proceso no prosperó. 
6|article243125|/ 17 de enero de 1977|Comerciantes de ropa usada bloquean la ruta a Warnes y exigen derogar decreto 28761 que prohibe internación|La carne, las hortalizas y el azúcar incrementaron su costo en los mercados|La ministra de Desarrollo Rural, Nemesia Achacollo, afirmó ayer que el incremento de precios en algunos productos de la canasta familiar, entre ellos la carne, las hortalizas y el azúcar, no se genera en el sector productivo, sino que es por efecto de los “especuladores”. “El alza de precios que vemos de manera general en algunos productos, viendo la realidad del Estado, se debe al tema de las lluvias, lo cual obstaculiza los caminos y hace que los productos tarden en llegar al mercado; entonces no es que el productor incremente los precios, sino son los especuladores”, justificó, según ABI, en una entrevista con los medios estatales. En las últimas semanas se reportó un aumento de entre dos y tres bolivianos en el precio del kilo-gancho de carne de res que ocasionó una declaratoria de emergencia en ese sector y el compromiso del Gobierno de regularizar el precio y levantar el veto a la exportación.
7|article242900|2014-06-09 00:00:00|Achacollo: El agio sube los precios|Invitación. Es un proyecto ‘llave en mano’ por un monto referencial de $us 400 MM|La Empresa Nacional de Electricidad (ENDE) lanzó ayer la licitación, bajo la modalidad “llave en mano”, para la construcción del Proyecto Hidroeléctrico Miguillas en el departamento de La Paz, el cual generará 200 megavatios (MW) que serán inyectados al Sistema Interconectado Nacional (SIN). Con la licitación, publicada ayer en este medio, se invitó a empresas nacionales e internacionales interesadas en ejecutar el diseño final de la construcción, la realización de obras civiles, el suministro de equipamiento, montaje, pruebas y puesta en marcha de las centrales hidroeléctricas de Umapalca y Palillada, que están ubicadas en la provincia Inquisivi del departamento.   El presidente ejecutivo de ENDE, Arturo Iporre, en una entrevista con radio Patria Nueva, el 4 de junio, informó que las dos centrales hidroeléctricas están encadenadas en cascada y que producirán en conjunto 200 MW.  La de Umapalca tendrá una potencia instalada de 84 MW y Palillada 116 MW. Los 200 MW que generará en total Miguillas equivalen en la actualidad  al 14 % de la potencia de generación eléctrica del SIN, que en total llega a 1.450 MW, mientras la demanda de todo el país llega a 1.200 MW. Préstamo. El 2 de junio, el ministro de Hidrocarburos y Energía, Juan José Sosa; el presidente del Banco Central de Bolivia (BCB), Marcelo Zabalaga, y el presidente de ENDE, Arturo Iporre, firmaron la concesión de un “crédito extraordinario” de Bs 3.114 millones ($us 447 millones) para la construcción de la hidroeléctrica Miguillas. Sin embargo, el monto referencial para la ejecución del proyecto licitado ayer llega a la suma de $us 400 millones a un plazo de 1.440 días calendario (tres años y nueve meses) una vez realizada la firma oficial para la construcción entre ENDE y la empresa que resulte contratada. El jefe del Departamento de Ejecución de Proyectos Hidroeléctricos de la firma estatal, José María Romay, precisó ayer a La Razón que los restantes $us 47 millones “se utilizarán en supervisión, en líneas de transmisión y subestaciones, por lo que todavía falta licitar los otros componentes para que complementemos el monto total de los recursos para el proyecto”. En la actualidad, en el departamento de La Paz está instalada la hidroeléctrica de Zongo con una capacidad de 160 MW y el sistema de Takeshi con 90 MW, con lo que el proyecto Miguillas será el más grande de La Paz con 200 MW, destacó Iporre el día de la firma para el préstamo. “En conjunto La Paz producirá 450 MW, constituyéndose en el mayor productor de energía hidroeléctrica en el país, con una producción equivalente al 31% de toda la generación (actual) del SIN”, declaró el 2 de junio.  En entrevista que sostuvo el presidente ejecutivo de ENDE en Patria Nueva, adelantó que cuando Miguillas esté en marcha, la producción hidroeléctrica de La Paz subirá en 80%.  Iporre complementó que la demanda actual de energía eléctrica crece en el país a un ritmo de entre 7 y 8% al año, lo que supone que cada año sea necesario incorporar 100 MW al Sistema Interconectado Nacional. Meta de la Agenda 2025  Metas En la perspectiva de cumplir la Agenda Patriótica 2025, planteada por el presidente Evo Morales, el sector eléctrico tiene la meta de llegar a generar 6.000 MW, pero además cambiar la matriz energética en Bolivia. None Mediante una licitación, la Empresa Nacional de Electricidad (ENDE) convocó ayer a las empresas nacionales e internacionales a presentar sus propuestas para realizar los estudios de factibilidad sobre el Proyecto Hidroeléctrico Rositas, en Santa Cruz. Las propuestas requeridas son para la ejecución de estudios básicos, revisión y actualización de estudios de factibilidad del proyecto y estudios ambientales específicos, entre otras tareas, indica la licitación publicada en La Razón. Para este proyecto se deberá construir una central hidroeléctrica con una potencia instalada mínima de 400 megavatios (MW). El jefe del Departamento de Ejecución de Proyectos de ENDE, José María Romay, indicó anoche a este diario que su capacidad podría llegar hasta los 600 MW. “Este proyecto se financiará con un préstamo del Banco de Desarrollo de América Latina (CAF)”, señaló, tras indicar que una vez que se tenga el estudio recién se construirá la hidroeléctrica en casi ocho años, mientras que el proyecto pleno llevará al menos diez. El monto referencial para la construcción de la hidroeléctrica es de Bs 67.520.000 ($us 9,7 millones), y debe ejecutarse en un plazo de 540 días (18 meses).
8|article242900|2014-06-09 00:00:00|Achacollo: El agio sube los precios|Invitación. Es un proyecto ‘llave en mano’ por un monto referencial de $us 400 MM|La Empresa Nacional de Electricidad (ENDE) lanzó ayer la licitación, bajo la modalidad “llave en mano”, para la construcción del Proyecto Hidroeléctrico Miguillas en el departamento de La Paz, el cual generará 200 megavatios (MW) que serán inyectados al Sistema Interconectado Nacional (SIN). Con la licitación, publicada ayer en este medio, se invitó a empresas nacionales e internacionales interesadas en ejecutar el diseño final de la construcción, la realización de obras civiles, el suministro de equipamiento, montaje, pruebas y puesta en marcha de las centrales hidroeléctricas de Umapalca y Palillada, que están ubicadas en la provincia Inquisivi del departamento.   El presidente ejecutivo de ENDE, Arturo Iporre, en una entrevista con radio Patria Nueva, el 4 de junio, informó que las dos centrales hidroeléctricas están encadenadas en cascada y que producirán en conjunto 200 MW.  La de Umapalca tendrá una potencia instalada de 84 MW y Palillada 116 MW. Los 200 MW que generará en total Miguillas equivalen en la actualidad  al 14 % de la potencia de generación eléctrica del SIN, que en total llega a 1.450 MW, mientras la demanda de todo el país llega a 1.200 MW. Préstamo. El 2 de junio, el ministro de Hidrocarburos y Energía, Juan José Sosa; el presidente del Banco Central de Bolivia (BCB), Marcelo Zabalaga, y el presidente de ENDE, Arturo Iporre, firmaron la concesión de un “crédito extraordinario” de Bs 3.114 millones ($us 447 millones) para la construcción de la hidroeléctrica Miguillas. Sin embargo, el monto referencial para la ejecución del proyecto licitado ayer llega a la suma de $us 400 millones a un plazo de 1.440 días calendario (tres años y nueve meses) una vez realizada la firma oficial para la construcción entre ENDE y la empresa que resulte contratada. El jefe del Departamento de Ejecución de Proyectos Hidroeléctricos de la firma estatal, José María Romay, precisó ayer a La Razón que los restantes $us 47 millones “se utilizarán en supervisión, en líneas de transmisión y subestaciones, por lo que todavía falta licitar los otros componentes para que complementemos el monto total de los recursos para el proyecto”. En la actualidad, en el departamento de La Paz está instalada la hidroeléctrica de Zongo con una capacidad de 160 MW y el sistema de Takeshi con 90 MW, con lo que el proyecto Miguillas será el más grande de La Paz con 200 MW, destacó Iporre el día de la firma para el préstamo. “En conjunto La Paz producirá 450 MW, constituyéndose en el mayor productor de energía hidroeléctrica en el país, con una producción equivalente al 31% de toda la generación (actual) del SIN”, declaró el 2 de junio.  En entrevista que sostuvo el presidente ejecutivo de ENDE en Patria Nueva, adelantó que cuando Miguillas esté en marcha, la producción hidroeléctrica de La Paz subirá en 80%.  Iporre complementó que la demanda actual de energía eléctrica crece en el país a un ritmo de entre 7 y 8% al año, lo que supone que cada año sea necesario incorporar 100 MW al Sistema Interconectado Nacional. Meta de la Agenda 2025  Metas En la perspectiva de cumplir la Agenda Patriótica 2025, planteada por el presidente Evo Morales, el sector eléctrico tiene la meta de llegar a generar 6.000 MW, pero además cambiar la matriz energética en Bolivia. None Mediante una licitación, la Empresa Nacional de Electricidad (ENDE) convocó ayer a las empresas nacionales e internacionales a presentar sus propuestas para realizar los estudios de factibilidad sobre el Proyecto Hidroeléctrico Rositas, en Santa Cruz. Las propuestas requeridas son para la ejecución de estudios básicos, revisión y actualización de estudios de factibilidad del proyecto y estudios ambientales específicos, entre otras tareas, indica la licitación publicada en La Razón. Para este proyecto se deberá construir una central hidroeléctrica con una potencia instalada mínima de 400 megavatios (MW). El jefe del Departamento de Ejecución de Proyectos de ENDE, José María Romay, indicó anoche a este diario que su capacidad podría llegar hasta los 600 MW. “Este proyecto se financiará con un préstamo del Banco de Desarrollo de América Latina (CAF)”, señaló, tras indicar que una vez que se tenga el estudio recién se construirá la hidroeléctrica en casi ocho años, mientras que el proyecto pleno llevará al menos diez. El monto referencial para la construcción de la hidroeléctrica es de Bs 67.520.000 ($us 9,7 millones), y debe ejecutarse en un plazo de 540 días (18 meses).
9|article242915|/ 17 de enero de 1977|ENDE lanza la licitación para construir hidroeléctrica Miguillas|Hay 43 solicitudes de préstamo y un 64% son para compra de reses|En 15 días se entregarán los primeros créditos, establecidos en el Plan Patujú, para rehabilitar el ganado afectado por las lluvias e inundaciones, en particular en el departamento del Beni, informó ayer la ministra de Desarrollo Rural y Tierras, Nemesia Achacollo. “Esperamos que en 15 días más podamos hacer los primeros desembolsos. Para esto hemos recibido 43 carpetas de solicitudes de créditos, de las cuales un 64% son para la compra de ganado y la otra parte para la reposición de infraestructuras”, precisó en el programa El Pueblo es Noticia de la radio estatal Patria Nueva. Fideicomiso. Explicó que los créditos, que tienen un fideicomiso de $us 30 millones, son la parte “más fuerte” en la que trabaja su despacho, para que los productores que perdieron todo su ganado y su producción agraria puedan iniciar la recuperación de éstos. Según datos oficiales, el fideicomiso tiene tres años de gracia y 12 años de plazo para los acreedores, el cual puede ser acortado si el beneficiario opta por realizar sus pagos en menos tiempo. La autoridad explicó que para complementar la rehabilitación agrícola, el Gobierno está entregando semillas y herramientas menores (palas, picotas, carretillas y otros) en las regiones afectadas. Complementó que el plan impulsado por el Gobierno ya entregó más de 7.500 toneladas de semilla y cerca de 25.000 cabezas de ganado para iniciar la rehabilitación agrícola en los municipios de Riberalta, Guayaramerín, Gonzalo Moreno y Santos Mercado. Destacó también que la certificación Bolivia, como territorio libre de fiebre aftosa, otorgada por la Organización Mundial de Sanidad Animal (OIE), después de un arduo trabajo, dará un nuevo rumbo al estatus sanitario en la producción ganadera del país.
